1,0.003,0.0003
1,0.002,0.0002
0.92378,0.001,0.0001
1,0.0005,5e-05
0.58451,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.93865,0.0005,5e-05
0.50803,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.92716,0.0005,5e-05
0.51395,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.94118,0.0005,5e-05
0.49541,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.74193,0.0005,5e-05
0.55156,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.49748,0.0005,5e-05
0.4755,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.89051,0.0005,5e-05
0.42779,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
0.82746,0.0005,5e-05
0.5028,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
1,0.001,0.0001
1,0.0005,5e-05
0.56987,0.0001,1e-05
1,0.003,0.0003
1,0.002,0.0002
0.89487,0.001,0.0001
0.67549,0.0005,5e-05
0.48665,0.0001,1e-05
